Track,Event Type,Midi Note,Note Name,Velocity,Duration (seconds),Time (seconds)
0,note_on,77,F5,0.25984251968503935,2.4973958333333335,1.25
0,note_on,80,G#5,0.25984251968503935,2.4973958333333335,1.25
0,note_on,73,C#5,0.25984251968503935,2.403645833333333,3.75
0,note_on,77,F5,0.25984251968503935,2.403645833333333,3.75
0,note_on,72,C5,0.25984251968503935,0.6223958333333339,6.25
0,note_on,75,D#5,0.25984251968503935,0.6223958333333339,6.25
0,note_on,73,C#5,0.25984251968503935,0.6223958333333339,6.875
0,note_on,77,F5,0.25984251968503935,0.6223958333333339,6.875
0,note_on,72,C5,0.25984251968503935,4.184895833333332,7.5
0,note_on,75,D#5,0.25984251968503935,4.184895833333332,7.5
0,note_on,70,A#4,0.25984251968503935,0.6223958333333339,11.875
0,note_on,73,C#5,0.25984251968503935,0.6223958333333339,11.875
0,note_on,72,C5,0.25984251968503935,0.6223958333333339,12.5
0,note_on,75,D#5,0.25984251968503935,0.6223958333333339,12.5
0,note_on,73,C#5,0.25984251968503935,0.9348958333333339,13.125
0,note_on,70,A#4,0.25984251968503935,4.372395833333332,13.125
0,note_on,77,F5,0.25984251968503935,1.872395833333334,14.0625
0,note_on,73,C#5,0.25984251968503935,1.5598958333333321,15.9375
0,note_on,68,G#4,0.25984251968503935,0.6223958333333321,17.5
0,note_on,72,C5,0.25984251968503935,0.6223958333333321,17.5
0,note_on,70,A#4,0.25984251968503935,0.6223958333333321,18.125
0,note_on,73,C#5,0.25984251968503935,0.6223958333333321,18.125
0,note_on,68,G#4,0.25984251968503935,3.559895833333332,18.75
0,note_on,72,C5,0.25984251968503935,4.176020131249999,18.75
0,note_on,66,F#4,0.25984251968503935,3.670915981250001,22.5
0,note_on,70,A#4,0.25984251968503935,0.6096934812500017,23.1122445
0,note_on,72,C5,0.25984251968503935,0.6096934812500017,23.724489
0,note_on,70,A#4,0.25984251968503935,0.6096934812499981,24.3367335
0,note_on,75,D#5,0.25984251968503935,0.6096934812500017,24.948978
0,note_on,70,A#4,0.25984251968503935,0.6096934812500017,25.5612225
0,note_on,68,G#4,0.25984251968503935,0.6096934812500017,26.173467
0,note_on,66,F#4,0.25984251968503935,1.83418248125,26.173467
0,note_on,70,A#4,0.25984251968503935,0.6096934812500017,26.785711499999998
0,note_on,68,G#4,0.25984251968503935,1.2219379812500009,27.397956
0,note_on,63,D#4,0.25984251968503935,3.670915981250001,28.0102005
0,note_on,66,F#4,0.25984251968503935,0.6096934812500017,28.622445
0,note_on,68,G#4,0.25984251968503935,0.6096934812499981,29.2346895
0,note_on,66,F#4,0.25984251968503935,1.8341824812500036,29.846933999999997
0,note_on,65,F4,0.25984251968503935,2.3442335000000014,31.6836675
0,note_on,63,D#4,0.25984251968503935,1.7423458062500004,31.6836675
0,note_on,61,C#4,0.25984251968503935,5.397500000000001,33.520401
0,note_on,65,F4,0.25984251968503935,0.5974999999999966,34.120401
0,note_on,66,F#4,0.25984251968503935,0.5974999999999966,34.720401
0,note_on,65,F4,0.25984251968503935,0.5975000000000037,35.320401
0,note_on,70,A#4,0.25984251968503935,0.5975000000000037,35.920401
0,note_on,65,F4,0.25984251968503935,0.5975000000000037,36.520401
0,note_on,63,D#4,0.25984251968503935,0.5974999999999966,37.120401
0,note_on,65,F4,0.25984251968503935,0.5974999999999966,37.720401
0,note_on,63,D#4,0.25984251968503935,1.1975000000000051,38.320401
0,note_on,58,A#3,0.25984251968503935,3.5975000000000037,38.920401
0,note_on,61,C#4,0.25984251968503935,0.5975000000000037,39.520401
0,note_on,63,D#4,0.25984251968503935,0.5974999999999966,40.120401
0,note_on,61,C#4,0.25984251968503935,1.7975000000000065,40.720400999999995
0,note_on,60,C4,0.25984251968503935,1.7974999999999994,42.520401
0,note_on,56,G#3,0.25984251968503935,1.7974999999999994,42.520401
0,note_on,77,F5,0.25984251968503935,1.7622555187499955,46.0851075
0,note_on,80,G#5,0.25984251968503935,1.7622555187499955,46.0851075
0,note_on,73,C#5,0.25984251968503935,2.2622556937499994,47.849813999999995
0,note_on,77,F5,0.25984251968503935,2.2622556937499994,47.849813999999995
0,note_on,75,D#5,0.25984251968503935,0.5857845187500033,50.202755999999994
0,note_on,66,F#4,0.25984251968503935,4.526962368750006,50.202755999999994
0,note_on,70,A#4,0.25984251968503935,4.526962368750006,50.202755999999994
0,note_on,77,F5,0.25984251968503935,0.5857845187500033,50.7909915
0,note_on,75,D#5,0.25984251968503935,3.9308552541666657,51.379227
0,note_on,61,C#4,0.25984251968503935,0.5745191541666657,55.485563
0,note_on,73,C#5,0.25984251968503935,0.5745191541666657,55.485563
0,note_on,68,G#4,0.25984251968503935,1.1514421541666664,55.485563
0,note_on,63,D#4,0.25984251968503935,0.5745191541666657,56.062486
0,note_on,75,D#5,0.25984251968503935,0.5745191541666657,56.062486
0,note_on,68,G#4,0.25984251968503935,1.7283651541666671,56.639409
0,note_on,73,C#5,0.25984251968503935,1.7283651541666671,56.639409
0,note_on,80,G#5,0.25984251968503935,1.7283651541666671,56.639409
0,note_on,65,F4,0.25984251968503935,1.641826704166668,58.370177999999996
0,note_on,73,C#5,0.25984251968503935,1.641826704166668,58.370177999999996
0,note_on,77,F5,0.25984251968503935,2.218749704166669,58.370177999999996
0,note_on,75,D#5,0.25984251968503935,0.5745191541666657,60.67787
0,note_on,66,F#4,0.25984251968503935,4.612980154166664,60.67787
0,note_on,70,A#4,0.25984251968503935,4.612980154166664,60.67787
0,note_on,77,F5,0.25984251968503935,0.5745191541666657,61.254793
0,note_on,75,D#5,0.25984251968503935,1.7283651541666671,61.831716
0,note_on,73,C#5,0.25984251968503935,2.209542808333339,63.562484999999995
0,note_on,61,C#4,0.28346456692913385,0.5636795083333226,65.85929200000001
0,note_on,73,C#5,0.28346456692913385,0.5636795083333226,65.85929200000001
0,note_on,68,G#4,0.28346456692913385,1.1297175083333286,65.85929200000001
0,note_on,63,D#4,0.30708661417322836,0.5636795083333368,66.42533
0,note_on,75,D#5,0.30708661417322836,0.5636795083333368,66.42533
0,note_on,70,A#4,0.33070866141732286,0.8466985083333327,66.99136800000001
0,note_on,82,A#5,0.33070866141732286,0.8466985083333327,66.99136800000001
0,note_on,77,F5,0.33070866141732286,2.5471709999999916,66.99136800000001
