Track,Event Type,Midi Note,Note Name,Velocity,Duration (seconds),Time (seconds)
0,note_on,87,D#6,0.8740157480314961,1.0738955250000002,1.99375
0,note_on,63,D#4,0.7716535433070866,1.0619470000000002,1.996875
0,note_on,75,D#5,0.84251968503937,1.0417876958333336,1.9979166666666666
0,note_on,51,D#3,0.7401574803149606,0.21764694999999978,2.826469175
0,note_on,75,D#5,0.7401574803149606,0.07941172499999993,3.3308806875
0,note_on,87,D#6,0.7716535433070866,0.07794113749999987,3.3308806875
0,note_on,51,D#3,0.6062992125984252,0.048529387500000354,3.33529245
0,note_on,63,D#4,0.5826771653543307,0.045588212500000225,3.3397042125
0,note_on,74,D5,0.8740157480314961,0.3970586250000001,3.48823355
0,note_on,86,D6,0.905511811023622,0.35147041250000033,3.48823355
0,note_on,62,D4,0.7401574803149606,0.39558803750000004,3.4926453125
0,note_on,50,D3,0.7401574803149606,0.36323511249999996,3.5014688375
0,note_on,86,D6,0.8031496062992126,0.05588232500000068,4.04117445
0,note_on,50,D3,0.7165354330708661,0.03676468749999984,4.0426450375
0,note_on,74,D5,0.7244094488188977,0.03676468749999984,4.049997975
0,note_on,62,D4,0.49606299212598426,0.0470587999999994,4.0544097375
0,note_on,48,C3,0.8110236220472441,0.3941174500000004,4.185292025
0,note_on,60,C4,0.7952755905511811,0.4073527375000001,4.185292025
0,note_on,84,C6,0.8740157480314961,0.3911762750000003,4.1882332
0,note_on,72,C5,0.8188976377952756,0.38088216249999984,4.19411555
0,note_on,60,C4,0.6692913385826772,0.03529409999999977,4.7294094
0,note_on,84,C6,0.8267716535433071,0.03382351249999971,4.7367623375
0,note_on,48,C3,0.6535433070866141,0.03529409999999977,4.744115275
0,note_on,72,C5,0.6535433070866141,0.033823512500000597,4.7485270375
0,note_on,82,A#5,0.9133858267716536,0.36764687500000015,4.8867622625
0,note_on,46,A#2,0.8661417322834646,0.36029393749999983,4.8941152
0,note_on,70,A#4,0.8503937007874016,0.3838233375,4.8955857875
0,note_on,58,A#3,0.8267716535433071,0.38970568749999934,4.9014681375
0,note_on,82,A#5,0.84251968503937,0.08676466249999937,5.4514678625
0,note_on,58,A#3,0.7165354330708661,0.03235292500000053,5.455879625
0,note_on,46,A#2,0.7795275590551181,0.048529387500000354,5.4602913875
0,note_on,70,A#4,0.8031496062992126,0.05294115000000055,5.4632325625
